trial,lr,weight_decay,batch_size,dropout,optimizer,val_loss,val_acc
0,0.00016257017647374811,9.927520814821866e-07,128,0.12239290353452625,adamw,0.6082,0.8287
1,0.018601049268776013,7.911614289453068e-06,64,0.2215633877486761,sgd,1.731,0.5218
2,0.000230028046608816,0.005454557537412855,32,0.09429186444262942,adam,0.6509,0.8139
3,0.09438274403881665,0.002924958014965239,256,0.5444996682157713,adam,2.0,0.5
4,0.00018331964075136,3.990150470988243e-07,256,0.09913385079545291,adamw,0.624,0.8378
5,0.02331761042428082,0.00033628923770532757,256,0.07213821024901676,sgd,2.0,0.5
6,0.005497081540900846,0.00012352524659100446,64,0.03364413506707018,adam,1.0867,0.6471
7,1.421375972546572e-05,0.009587226063465328,64,0.035012280395160245,adamw,2.0,0.5
8,0.024098718023904613,9.291977135267059e-07,32,0.38197178834511203,adamw,1.8049,0.5111
9,4.929362262318386e-05,9.226152988585188e-07,512,0.17039883556467977,adamw,1.1453,0.6238
10,0.00020872986485958076,3.9373451936733553e-07,128,0.12512471921051138,adamw,0.5471,0.8586
11,0.013415272372667951,0.013468320940698683,64,0.30997297061671697,adamw,1.2718,0.584
12,0.00802242083495229,1.750979750891157e-05,128,0.12171483074678884,adamw,1.0505,0.6319
13,2.4739152419153397e-05,2.0050984345601748e-06,64,0.18332721305796223,adamw,1.4553,0.5626
14,0.004335224389833066,0.00014090145839067898,32,0.4385110470664546,adamw,0.7462,0.7644
15,0.026839906455557977,0.0018480126890770762,128,0.0774540339177858,adam,1.9555,0.5
16,0.010765988320351617,5.893490032778894e-07,32,0.0001626119026227002,adamw,1.3365,0.5648
17,0.00011963491571742157,0.03888145794781502,256,0.4492583907661064,sgd,1.1577,0.6184
18,5.875632201747222e-05,0.002018866495939634,128,0.5224257341828853,adam,1.3291,0.5729
19,0.010265809296267615,8.139945196576112e-05,256,0.49548621075030763,sgd,1.5597,0.5347
20,0.007958033788466186,0.07831882056719391,128,0.3930298265109945,adamw,1.0893,0.6366
21,0.02875733814310058,0.0026222034231953902,32,0.5792787620752207,adamw,2.0,0.5
22,0.030505767654271876,0.0010007765465012042,256,0.48931950089439186,sgd,2.0,0.5
23,0.00025679113082730957,1.1880770161264513e-07,32,0.14400481206683946,adam,0.6345,0.8199
24,0.00014989443625822694,0.013412870688900166,128,0.13490588867197537,adamw,0.6964,0.7939
25,0.0003806008188477371,0.00018661787052727638,64,0.5616616549185386,adamw,0.7891,0.7444
26,0.00013632225725784055,3.5428509011195193e-07,32,0.2754393953067426,adamw,0.5828,0.8476
27,0.015158167541447843,0.0001266660652443802,256,0.23470416271037073,adam,1.3632,0.5725
28,0.00014669809470388477,0.09524834748741898,32,0.09505704351272672,adam,0.8592,0.7234
29,6.144549318168902e-05,2.830388727313952e-07,512,0.33703771159012597,adam,1.1372,0.6263
30,0.007394171662412928,0.0007669677210715235,32,0.5164380363785005,adam,1.3256,0.5789
31,0.00042119423893566846,0.05354712444021769,64,0.5272632109861628,adam,0.9305,0.6861
